drug,added_ugml,found_ugml,paper_recovery_pct
AML,10,10.07,100.73
AML,20,20.08,100.42
AML,30,30.15,100.52
LER,10,9.94,99.42
LER,20,19.90,99.53
LER,30,29.67,98.93
NIF,10,10.08,100.82
NIF,20,20.09,100.45
NIF,30,30.12,100.43
NIM,10,10.06,100.59
NIM,20,19.80,99.00
NIM,30,29.87,99.57
NIT,30,30.07,100.23
NIT,40,40.11,100.28
NIT,50,50.84,101.68
